TotalBill,Nights,Age,Gender,Spa
242,2,35,M,0
776,3,56,F,0
1112,5,44,M,0
976,4,54,M,0
1425,6,33,M,0
1842,7,64,M,0
1065,3,37,M,0
933,4,43,M,0
984,4,24,F,0
719,4,33,M,0
995,4,32,F,0
542,2,32,M,0
684,3,23,M,0
718,2,64,F,0
678,3,46,F,0
660,2,35,M,0
974,3,47,M,0
830,2,23,M,0
585,1,35,M,0
929,3,59,F,0
454,0,39,M,0
273,0,54,M,1
475,2,45,M,0
1044,2,26,F,0
674,2,25,F,0
368,2,28,M,0
1233,3,67,F,1
1008,4,27,M,0
996,2,30,M,0
1592,5,60,M,0
1128,2,22,M,0
458,0,49,F,0
1466,4,41,M,0
767,4,60,F,0
1721,9,59,F,0
232,0,39,M,0
326,0,64,M,1
1049,4,44,M,0
381,1,56,M,0
542,1,39,M,0
828,3,48,F,0
1413,4,33,M,0
992,2,25,M,0
837,2,60,M,0
719,4,59,F,0
280,0,57,F,1
746,1,55,M,0
790,4,33,M,0
1296,4,61,M,0
604,2,37,M,0
1720,9,64,F,0
460,2,49,F,0
476,0,72,F,1
1168,4,46,F,0
990,2,68,M,1
864,4,51,M,0
824,2,33,M,0
504,0,47,M,0
776,2,55,M,0
850,2,41,M,0
1024,2,49,M,0
806,1,22,M,0
524,0,54,M,0
638,2,29,M,0
1266,4,46,F,0
1092,2,36,F,0
760,2,32,M,0
1967,6,40,F,0
582,2,46,M,0
718,3,22,M,0
1082,3,41,F,0
1019,4,51,M,0
938,1,27,M,0
1326,6,63,F,0
1041,2,36,F,0
853,2,39,M,0
1401,6,69,F,0
940,2,27,M,0
839,2,49,F,0
1039,2,50,M,0
739,4,63,M,0
413,1,56,M,0
1052,2,45,M,0
846,2,55,F,0
1110,2,62,M,0
583,2,26,M,0
936,2,35,M,0
3318,6,62,M,1
754,4,67,M,0
1034,2,59,M,0
440,0,55,M,0
730,2,24,M,0
819,2,63,M,0
416,2,63,F,0
505,1,46,M,0
969,3,34,F,0
1504,3,56,M,1
1613,9,63,F,1
775,3,27,M,0
518,2,61,F,0
1206,4,61,M,0
931,3,50,M,0
1659,9,58,M,0
2076,8,45,M,0
904,4,58,M,0
1761,3,54,F,1
893,4,42,M,0
887,2,38,M,0
1034,4,29,M,0
695,2,47,F,0
6054,8,33,M,1
705,2,46,F,0
895,4,39,F,0
1007,2,56,F,1
3184,10,49,M,0
1486,6,53,F,1
469,0,47,F,1
1142,4,44,M,0
1730,4,18,F,0
968,4,51,M,0
972,4,55,M,0
876,4,17,M,0
1114,4,27,M,0
837,4,50,M,0
1891,6,39,M,0
918,4,51,F,0
959,4,41,F,0
,6,16,F,0
,6,69,M,0
1146,6,60,M,0
1474,2,50,F,1
595,2,36,F,0
,2,32,M,0
1171,4,35,M,0
1163,4,20,M,0
1892,4,49,M,1
877,2,51,M,1
,5,55,F,0
890,1,60,F,1
1266,4,57,M,0
,2,57,F,1
,4,40,M,0
4155,9,50,F,0
,4,29,M,0
770,2,63,F,0
1370,6,53,M,0
1326,4,49,F,0
1221,4,54,M,0
1743,6,44,F,0
2154,2,63,M,1
1659,4,54,M,0
1408,6,37,M,0
1357,3,41,M,0
,6,58,F,0
885,3,45,F,0
741,0,54,M,1
1678,4,50,M,0
3533,10,51,F,0
458,1,27,F,0
3822,5,52,F,1
1876,4,15,M,1
1075,4,32,M,0
1040,4,63,M,0
1674,4,56,F,0
,3,63,F,1
,2,33,M,0
847,2,38,M,0
1041,4,24,M,0
1207,4,32,F,0
1275,1,59,F,0
,4,49,F,0
,7,69,F,0
,1,30,M,0
,6,37,M,0
,5,59,F,0
,5,58,M,0
,4,55,M,0
,3,37,M,0
,11,58,M,0
1451,4,46,M,0
1249,4,52,F,0
,1,75,M,1
,2,48,F,1
671,2,56,M,0
,2,27,M,0
,2,56,M,0
,3,49,M,0
,3,38,M,0
2679,12,52,F,0
547,2,54,M,0
1862,9,64,F,0
2642,11,58,F,0
780,2,30,M,0
1989,10,63,F,0
735,2,22,M,0
1728,12,64,F,0
642,2,49,M,0
754,3,26,F,0
830,2,45,M,0
1459,7,66,M,0
1258,4,42,M,0
559,2,43,M,0
,2,56,M,0
1156,6,59,F,0
,2,61,F,0
,2,56,F,0
,9,61,F,0
,8,50,F,0
,4,65,F,0
,2,53,M,0
,3,49,F,0
,6,59,M,0
,2,53,M,0
,3,48,F,0
,2,56,F,0
,2,21,M,0
,2,49,M,0
,4,39,M,0
,3,42,M,0
,2,24,F,0
,7,67,M,0
,4,45,F,0
1705,8,56,F,0
806,3,45,M,0
1306,5,32,F,0
756,4,27,M,0
1002,4,23,M,0
257,0,57,F,1
872,4,59,F,0
568,3,37,M,0
1426,6,45,M,0
767,2,28,M,1
156,1,37,M,0
1577,7,30,F,0
1097,4,43,M,0
609,2,55,M,0
1391,5,48,F,0
889,4,26,M,0
651,2,21,M,0
422,1,28,M,0
1451,4,37,M,0
1371,6,44,F,0
562,2,46,M,0
1884,8,53,F,0
976,4,52,F,0
958,4,46,M,0
1231,6,46,M,0
1229,4,53,F,0
429,1,35,F,0
1231,4,53,F,0
252,0,58,F,1
1099,4,41,F,0
1220,4,51,M,0
686,2,47,F,0
1456,5,51,M,0
1132,4,13,M,0
1133,3,50,F,0
833,4,45,F,0
726,3,30,M,0
495,1,54,F,0
1100,5,48,M,0
1857,6,18,F,0
944,4,33,M,0
328,1,17,M,0
721,2,44,M,0
2037,8,24,M,0
1145,6,42,M,0
805,3,64,F,0
544,2,64,F,0
1544,6,23,M,0
1150,4,26,M,0
1386,6,55,F,0
1078,5,38,F,0
804,3,24,M,0
533,1,27,M,0
737,3,56,M,0
496,2,27,M,0
953,4,52,F,0
525,2,21,M,0
1262,4,61,F,1
676,2,33,M,0
1319,4,36,M,0
608,2,56,M,0
1225,4,42,M,0
1135,4,47,M,0
426,2,29,M,0
513,2,38,M,0
739,3,49,M,0
396,0,56,F,1
1069,4,52,M,0
1164,5,46,M,0
614,2,48,M,0
1919,4,61,M,1
650,3,65,F,0
1457,6,36,M,0
798,4,51,F,0
820,1,29,M,1
2006,5,59,M,1
1065,4,51,M,0
433,1,36,M,0
423,1,30,M,0
986,3,47,M,0
1031,4,54,M,0
522,2,51,F,0
352,0,53,F,1
663,2,58,F,0
733,3,65,F,0
524,2,39,F,0
1060,4,42,F,0
634,2,60,M,1
1239,4,43,M,0
1377,4,42,M,0
1394,7,71,F,0
1455,6,53,M,0
842,3,49,M,0
525,2,30,M,0
983,4,48,M,0
1845,6,11,M,0
552,2,54,M,0
596,2,27,M,0
1018,4,32,M,0
1654,6,46,M,0
1174,6,58,F,0
1677,6,47,M,0
838,4,47,M,0
2027,10,44,M,0
844,4,76,M,0
1208,4,30,M,0
487,1,49,M,0
1081,4,53,F,0
314,2,23,M,0
785,4,60,F,0
582,2,21,M,0
1149,4,62,M,1
1143,4,21,M,0
999,4,68,F,0
898,4,58,F,0
925,4,52,F,0
379,1,52,M,0
1189,5,44,F,0
1416,6,60,F,0
560,2,29,M,0
883,5,54,F,0
421,1,22,M,0
1277,4,45,M,0
690,2,17,M,0
1647,8,56,M,1
414,1,49,F,0
1067,4,55,F,0
2016,8,54,M,0
1435,1,47,M,1
1587,6,47,F,0
627,2,31,M,0
598,2,34,F,0
849,4,62,F,0
993,2,50,F,0
399,1,49,M,0
488,2,36,F,0
398,1,32,M,0
3922,8,49,M,0
1342,6,38,F,0
2725,5,44,F,0
786,2,51,M,0
550,2,52,F,0
750,4,53,F,0
1103,5,45,F,0
713,2,31,M,0
1280,4,32,M,0
400,1,26,F,0
1132,4,39,M,0
663,2,45,M,0
1452,6,68,M,0
1074,3,50,F,0
559,2,41,F,0
903,4,59,F,0
952,3,40,M,0
1157,4,54,M,0
623,3,35,M,0
555,2,22,M,0
2586,9,50,M,1
1844,8,46,M,0
1098,4,28,M,0
1108,3,46,M,0
467,0,56,F,1
1545,6,39,F,0
409,1,51,M,0
3469,15,48,F,1
1990,8,52,F,0
2240,8,44,M,0
1098,5,61,M,0
874,4,52,M,0
1046,1,44,M,1
753,3,40,M,0
2224,10,39,M,0
1026,5,73,M,0
688,3,30,M,0
661,2,56,M,0
542,2,42,M,0
825,4,57,F,0
965,4,39,M,0
1234,4,56,M,0
368,0,14,F,0
969,4,33,F,0
892,2,53,F,1
631,2,27,M,0
530,2,43,M,0
353,0,47,M,0
886,4,47,F,0
501,2,55,M,0
1200,6,68,F,0
1344,4,44,F,0
651,4,60,M,0
744,2,49,F,0
513,2,51,M,0
1258,2,56,M,0
572,2,58,F,0
819,4,53,M,0
1027,3,56,M,0
446,0,55,M,1
2247,6,35,M,0
1257,4,42,M,0
616,0,52,M,1
833,5,60,F,0
1209,4,44,F,0
430,1,34,M,0
1012,3,38,F,0
561,2,40,F,0
670,3,65,F,0
804,2,57,F,0
1593,6,48,M,0
891,4,17,F,0
1255,4,48,M,0
508,1,35,M,0
1902,7,58,M,0
1921,10,66,F,0
544,2,56,M,0
885,3,53,M,0
463,1,29,M,0
2072,6,40,F,0
360,0,41,M,0
816,4,59,F,0
1589,4,51,F,0
1823,6,59,M,0
1256,4,49,M,0
991,4,41,M,0
661,2,36,F,0
599,1,55,F,1
1231,4,53,M,0
780,3,45,M,0
2608,6,59,M,0
895,2,34,F,0
1377,4,35,M,0
577,2,35,M,0
505,1,54,F,0
273,0,62,F,0
738,3,53,F,0
538,2,35,F,0
1183,4,48,F,0
1777,8,42,M,0
895,2,62,M,0
856,2,25,M,0
1530,4,43,F,0
423,1,60,M,0
377,1,42,M,0
1018,3,51,F,0
559,2,60,F,0
446,1,17,M,0
810,2,31,M,0
1248,6,56,F,0
372,2,62,M,0
374,0,50,F,1
684,2,26,M,0
619,2,35,M,0
1171,8,63,M,0
1072,3,23,M,0
235,2,65,F,0
539,2,40,F,0
715,2,60,F,0
455,0,61,M,1
1114,3,50,F,0
1080,3,42,M,0
401,0,55,M,0
993,3,55,M,0
3576,14,54,F,0
1342,8,43,M,0
837,2,30,F,0
701,0,68,F,1
160,0,42,M,0
515,2,37,M,0
1367,5,47,F,0
530,2,53,M,0
2065,6,64,M,0
1094,4,24,M,0
678,2,43,M,0
398,1,63,F,0
700,3,49,F,0
962,6,25,M,0
1442,4,36,M,0
710,2,37,M,0
349,0,24,M,0
663,4,26,M,0
303,2,47,M,0
506,1,63,M,0
1640,4,58,M,0
496,0,70,M,1
991,6,44,F,0
1051,2,28,M,0
646,4,47,M,0
942,2,51,F,0
2387,10,59,M,0
383,0,50,M,0
722,4,45,M,0
506,2,56,F,0
1084,3,30,M,0
681,2,48,F,0
689,2,39,F,0
1003,3,56,F,0
1283,4,42,M,0
643,2,21,M,0
912,4,56,M,0
1164,4,46,M,0
683,4,38,M,0
3453,14,66,M,0
714,2,37,M,0
559,2,39,M,0
1433,10,67,F,0
1607,5,55,F,0
539,2,42,M,0
1243,2,48,M,0
4106,17,32,F,0
1058,3,42,M,0
387,1,24,F,0
1161,4,59,M,0
1304,3,28,M,0
1277,5,27,M,0
1448,5,35,M,0
1275,4,48,M,0
467,1,46,M,0
683,3,47,M,0
785,4,63,F,0
778,3,46,M,0
708,2,66,M,1
1300,6,45,M,0
1894,5,34,M,0
1259,4,43,M,0
404,1,47,F,0
390,0,25,M,0
493,2,64,M,0
1912,6,55,M,0
1272,7,65,F,1
1009,4,64,M,1
2653,10,51,F,0
2903,7,55,M,1
1356,4,34,M,0
,5,42,M,0
1669,5,35,M,0
1160,4,31,F,0
559,3,58,M,0
1448,4,28,M,0
674,2,35,M,0
,4,54,M,0
,5,56,F,0
1039,2,34,F,0
,4,36,M,0
,4,42,F,0
,4,52,M,0
,0,49,M,1
,8,64,F,0
,6,59,F,0
1456,6,60,M,0
1777,4,27,M,0
1151,4,45,F,0
870,3,62,M,0
1931,10,70,F,0
1352,4,22,F,0
404,1,35,M,0
399,1,20,M,0
1289,4,39,M,0
1556,4,30,M,0
2319,9,59,M,0
1339,4,28,M,0
1421,6,65,M,0
644,4,69,M,0
,4,72,M,0
1247,8,69,F,0
1206,4,18,F,0
2211,6,25,F,0
188,0,40,M,0
1426,2,38,M,0
1057,4,50,M,0
1053,4,67,F,0
1680,4,50,F,0
2714,10,51,M,1
937,3,61,F,0
813,4,37,M,0
1208,4,42,F,0
1395,5,66,M,0
625,4,44,F,0
1657,3,52,F,1
116,0,57,F,0
413,0,51,F,1
1879,8,43,M,0
2160,6,31,M,0
1736,4,41,M,0
1727,4,42,M,0
1517,4,38,M,0
1538,5,49,M,0
1294,5,50,M,0
937,4,20,M,0
1559,6,61,M,0
295,0,44,F,1
1170,7,66,M,0
1491,5,65,F,0
1557,6,61,M,0
675,3,30,F,0
1538,5,51,M,0
1074,4,33,F,0
767,4,70,F,0
917,3,51,M,0
1282,4,32,M,0
187,0,17,F,0
949,2,46,M,0
1150,4,45,F,0
1201,4,51,F,0
1525,4,42,M,0
1105,4,38,M,0
1350,2,59,F,1
1822,6,65,M,0
265,0,61,F,0
1233,6,58,F,0
530,1,44,M,0
1928,6,43,F,0
1087,6,58,F,0
1748,4,48,M,0
1407,4,55,M,0
1654,4,41,M,0
878,2,51,M,0
948,4,55,M,0
1067,3,35,F,0
316,0,56,F,0
1918,4,19,M,0
,0,56,M,0
880,4,30,F,0
1189,5,45,M,0
582,2,50,M,0
392,1,45,F,0
1302,8,60,F,1
773,3,64,F,0
1675,4,50,M,0
1368,6,69,F,0
,6,46,M,0
527,2,56,M,0
1101,4,60,M,0
,6,49,M,0
1246,3,38,M,0
778,2,46,M,0
1667,4,45,M,0
955,0,32,M,1
453,0,65,F,1
460,2,27,F,0
1138,3,73,F,1
1085,3,55,M,0
333,1,61,M,0
1115,2,39,F,0
678,0,29,M,0
1550,8,54,F,0
,4,65,F,0
1005,4,54,F,0
2000,4,52,M,1
1146,4,57,M,0
1463,4,35,M,0
704,2,30,M,0
665,4,33,M,0
256,0,41,F,1
789,2,58,F,0
494,1,68,M,1
2121,4,47,F,0
1276,6,51,F,0
1063,4,48,F,0
1155,5,62,M,0
475,2,38,M,0
3295,14,53,F,1
641,3,34,M,0
1413,5,57,F,0
1139,4,51,M,0
1118,3,36,M,0
753,3,59,M,0
,4,43,F,0
736,4,59,M,0
648,2,69,F,0
521,3,47,M,0
643,1,49,F,1
599,3,62,M,0
521,3,40,M,0
837,2,28,F,0
1357,5,53,M,0
1143,4,31,F,0
1050,4,48,M,0
856,4,67,F,0
944,0,68,F,1
768,2,65,M,0
402,2,56,F,0
885,3,59,F,0
902,4,55,F,0
607,2,28,F,0
951,4,67,F,0
1047,4,46,F,0
1036,4,52,F,0
554,2,24,M,0
945,1,43,M,1
1743,5,51,M,0
1762,2,27,F,1
1216,9,72,F,0
1335,3,26,F,0
813,3,42,F,0
711,3,26,F,0
578,3,33,F,0
1486,6,50,M,0
970,3,22,M,0
684,2,50,F,0
1791,7,41,M,0
1780,6,50,M,0
957,4,15,F,0
1003,3,58,M,0
812,0,52,M,1
1882,6,53,M,0
1346,4,31,M,0
1581,3,22,M,0
523,2,42,M,0
989,4,45,M,0
974,4,34,M,0
1136,4,26,M,0
1220,4,61,F,0
769,3,26,M,0
4856,6,57,M,1
999,4,33,M,0
666,2,25,M,0
673,3,41,M,0
820,4,62,M,0
2391,6,61,M,0
1731,4,30,F,0
1037,4,45,F,0
1536,6,61,F,0
1502,4,57,F,0
1497,4,25,M,0
954,3,46,F,0
1368,4,36,M,0
1717,4,31,M,0
1377,3,37,F,0
1484,4,60,F,0
1276,4,22,F,0
1127,4,44,M,0
748,0,39,M,1
1280,3,24,M,0
1331,4,45,F,0
1696,3,35,M,0
1576,5,32,M,0
389,0,68,M,1
1455,5,39,M,0
2226,4,38,M,0
892,4,36,M,0
1240,4,35,M,0
1541,6,52,F,0
351,0,66,F,0
1270,4,44,M,0
410,1,49,M,0
1307,4,32,M,0
2876,7,35,M,0
923,3,43,M,0
1874,4,40,M,0
990,3,52,M,0
888,3,48,F,0
861,4,71,F,0
1096,4,51,M,0
1414,6,61,F,0
,4,39,F,0
1340,6,60,F,0
1533,4,45,M,0
2161,7,64,F,0
2339,3,65,M,1
1504,6,74,M,0
657,2,49,M,0
1082,4,57,M,0
1497,5,45,F,0
1449,4,53,F,0
691,2,35,M,0
5625,14,51,F,0
1412,4,47,M,0
438,1,70,F,1
1670,4,42,F,0
570,2,40,F,0
904,1,61,F,1
1660,4,45,F,0
1308,4,36,M,0
1115,3,40,M,0
384,2,71,M,0
616,2,32,M,0
788,5,52,M,0
1385,6,61,M,0
1823,6,46,F,0
1349,6,53,M,0
2246,9,57,F,0
982,4,43,M,0
1318,2,49,M,0
976,4,55,F,0
2371,4,57,F,1
4230,15,60,F,0
1884,4,48,M,0
902,3,52,M,0
996,3,42,M,0
2337,7,59,M,0
2514,7,43,M,0
838,0,47,M,1
1488,4,35,M,0
1496,4,27,M,0
1063,3,56,M,0
1625,4,34,M,0
1103,3,10,M,0
2482,6,24,M,0
2277,6,60,M,0
666,2,58,M,0
1549,4,26,M,0
763,2,49,M,0
1857,4,25,M,0
936,5,61,F,0
812,2,61,M,0
1345,4,58,M,0
1581,4,46,F,0
984,4,43,M,0
766,4,57,F,0
925,4,55,M,0
933,3,50,M,0
2166,3,21,M,0
1088,3,56,M,0
1753,4,16,M,0
885,4,42,M,0
1492,4,27,M,0
1258,4,58,M,0
779,4,65,M,0
2409,8,56,M,0
3564,6,49,F,0
1812,3,27,M,1
1046,1,49,F,1
789,3,63,F,1
2190,6,35,M,0
1982,4,36,F,0
910,3,24,M,0
1497,3,47,F,0
2996,6,35,F,0
621,3,61,M,0
990,4,45,F,0
828,4,66,F,0
797,3,25,F,0
850,2,30,M,0
1886,4,24,F,0
1237,4,27,M,0
3807,6,54,M,1
1178,4,12,M,0
1109,3,57,F,0
3556,8,51,M,0
1204,4,48,F,0
716,2,62,F,0
1051,4,59,M,0
653,2,70,F,1
610,3,64,F,0
1246,1,54,M,1
1051,4,39,M,0
1282,3,22,M,0
780,2,52,F,0
1847,4,38,F,0
1017,2,56,F,1
1444,4,56,F,0
624,0,58,M,1
2392,8,64,F,0
866,1,67,F,1
1336,2,18,M,0
1336,4,51,F,0
1721,4,53,M,0
1574,4,46,M,0
1731,4,14,M,0
1163,3,41,M,0
1019,3,30,M,0
1034,3,59,F,0
1879,4,29,M,0
503,0,66,F,1
867,2,61,M,0
5820,12,31,F,0
1760,10,71,F,0
919,4,65,M,0
1150,4,36,M,0
1350,8,56,F,0
1871,4,51,M,0
914,2,43,M,0
702,2,40,F,0
1602,7,49,M,0
1655,5,41,F,0
1675,5,49,F,0
1911,4,39,M,0
1863,4,59,F,0
1586,4,60,M,0
2952,6,65,M,1
2124,6,43,M,0
657,3,52,M,0
1195,4,39,F,0
1452,3,50,M,0
1123,2,58,M,0
939,3,39,M,0
2152,6,53,F,0
878,2,51,M,0
775,2,26,M,0
1202,4,43,F,0
390,0,61,F,1
1646,5,58,F,0
1121,3,29,M,0
687,2,57,M,0
1015,3,63,M,0
1634,2,41,F,1
1703,2,60,F,1
1185,4,49,F,0
1606,2,22,M,0
502,2,34,M,0
1879,1,54,M,1
1453,4,28,M,0
1480,4,51,M,0
940,4,41,M,0
1276,4,34,M,0
1819,6,45,M,0
1248,4,13,F,0
1872,4,43,M,0
639,2,59,F,0
3354,12,38,F,0
1754,6,53,M,0
1290,2,35,M,1
1793,4,51,M,0
1035,2,43,M,1
1014,3,57,F,0
1164,4,53,F,0
1773,5,60,F,0
1865,6,51,M,0
836,4,38,M,0
1885,4,30,M,0
1432,4,38,M,0
1182,4,44,M,0
1872,6,32,M,0
4168,10,63,F,0
2103,6,25,M,0
5142,14,54,M,0
1348,4,3,M,0
617,2,33,M,0
249,0,45,M,0
2588,8,55,F,0
1505,4,27,M,0
1616,2,48,F,0
696,2,17,M,0
1129,3,64,F,0
3803,8,44,M,0
1504,4,14,M,0
386,0,28,F,1
1768,6,58,F,0
3532,4,65,F,1
1395,4,58,F,0
1599,4,43,F,0
1528,4,51,F,0
961,3,36,M,0
1451,4,61,M,0
1769,4,41,M,0
1774,4,26,F,0
2375,6,60,F,0
1984,4,30,M,0
2188,6,59,F,0
3783,8,64,F,0
728,3,36,M,0
1572,4,16,M,0
2447,4,22,M,0
1209,3,27,M,0
729,0,60,F,1
1486,4,49,M,0
2102,6,47,F,0
1203,4,48,F,0
4796,16,47,F,0
2638,6,49,M,0
616,2,35,F,0
1595,4,17,M,0
1916,3,50,M,1
2297,6,53,F,0
2100,6,45,F,0
1574,4,32,M,0
2172,6,30,M,0
1046,3,24,M,0
1677,2,60,M,0
1352,5,51,F,0
2539,4,40,M,0
1891,4,27,M,0
669,2,35,M,0
802,2,40,F,0
2244,9,53,M,0
1504,2,36,M,0
1849,4,46,F,0
2458,6,31,M,0
1736,4,32,M,0
1095,2,38,M,0
,0,46,M,1
2470,4,39,M,1
670,0,51,M,1
2306,4,51,F,0
,4,22,F,0
1951,4,32,F,0
3368,10,49,F,0
1872,6,19,M,0
3030,11,50,M,0
3180,6,53,M,0
858,0,48,M,1
,4,63,F,0
2770,8,60,F,0
,4,56,M,0
2579,2,29,M,1
,4,59,F,0
1370,4,39,M,0
3446,10,60,M,0
2129,6,43,M,0
1440,4,32,M,0
2703,10,64,F,0
1512,6,44,M,0
2101,4,27,M,0
1705,10,79,M,0
1529,5,44,M,0
1743,5,37,M,0
2110,6,56,F,0
2379,5,43,M,0
3579,7,28,M,0
1930,4,33,M,0
2318,3,31,F,0
2096,4,33,M,0
1387,4,41,M,0
1367,4,35,F,0
1042,3,44,M,0
1103,2,47,F,0
1981,5,43,F,0
1768,4,51,M,0
2269,6,47,M,0
1405,3,28,M,0
2254,8,62,M,0
3809,4,29,M,0
864,2,47,F,0
932,4,51,M,0
2068,4,23,M,0
1210,3,12,F,0
1537,4,58,M,0
3152,7,49,M,1
1186,3,22,M,0
2012,6,42,F,0
2658,5,43,M,0
1602,4,64,F,0
577,2,60,M,0
1457,2,56,F,1
1498,4,65,F,0
3304,10,52,F,0
,3,75,F,0
1860,4,60,M,0
592,0,62,F,1
2095,8,63,F,0
3212,7,24,M,0
2079,4,51,M,0
1672,4,46,M,0
975,1,54,F,1
2475,2,38,M,1
1996,4,20,M,0
1543,6,72,F,0
1334,3,4,F,0
3404,5,42,F,1
1123,3,45,M,0
1847,5,50,M,0
1197,1,32,M,1
1520,4,42,M,0
1399,4,28,M,0
1322,3,52,F,0
1595,3,45,F,1
1961,4,42,M,0
2845,8,62,M,0
1247,4,53,M,0
1620,4,26,M,0
1350,5,51,F,0
1732,4,52,F,0
1558,4,64,M,0
2301,4,52,F,0
2981,4,60,M,0
1547,4,48,M,0
418,0,54,F,0
3040,6,43,M,0
871,2,31,M,0
4064,12,43,M,0
3154,8,45,M,0
1838,4,49,F,1
1939,2,51,F,1
,3,59,F,0
1468,2,10,M,0
1972,6,47,M,0
1383,3,42,F,0
1047,3,46,M,0
2206,6,47,F,0
2932,6,34,M,0
1944,6,61,M,0
1958,5,36,F,0
1567,2,44,F,1
1862,6,57,F,0
691,2,35,M,0
2269,5,53,F,0
1629,4,50,F,0
1951,7,41,M,0
,2,51,M,0
3046,4,40,F,1
1802,6,49,M,0
2176,6,36,F,0
1984,6,67,F,1
3705,8,60,M,0
387,0,21,M,0
405,0,41,F,0
1412,4,53,F,0
1854,5,41,M,0
1674,2,28,F,1
1082,3,67,M,0
2090,5,38,M,0
1409,3,38,F,0
1290,6,47,F,0
1843,4,34,M,0
543,1,58,M,0
1163,4,64,M,0
1451,4,42,F,0
1226,4,45,M,0
1296,4,54,F,0
1776,4,50,F,0
1317,4,46,F,0
1958,4,56,M,0
2998,10,62,M,0
901,4,70,F,0
2389,11,69,F,0
2225,5,43,F,0
1998,4,63,M,0
419,0,49,M,0
1373,3,39,M,0
2267,5,60,M,0
1889,6,29,M,0
1687,4,54,M,0
2838,4,40,M,0
1164,4,62,M,0
1302,4,61,F,1
1007,3,29,F,0
1420,2,32,M,0
692,4,30,M,0
1224,5,35,M,0
1216,4,31,M,0
841,4,59,F,0
1055,5,49,M,0
461,0,64,M,1
,4,61,M,0
751,4,48,M,0
833,4,33,M,0
503,0,31,M,1
1029,4,23,M,0
161,0,20,F,0
1425,4,71,F,1
1859,12,61,M,0
618,2,45,M,0
2096,8,46,M,0
684,3,26,M,0
431,0,54,F,1
381,1,25,M,0
1094,5,60,M,0
700,3,38,M,0
711,4,49,M,0
539,2,60,M,0
1196,4,24,M,0
1054,2,53,M,1
1252,4,28,F,0
951,4,30,M,0
666,3,56,M,0
596,2,55,F,0
,4,33,M,0
651,3,52,M,0
956,3,20,M,0
1094,6,52,F,0
1485,4,61,F,1
419,2,29,M,0
627,2,12,M,0
344,2,52,M,0
932,4,46,F,0
267,2,66,F,0
1101,4,42,M,0
1564,4,18,F,0
639,2,12,M,0
1167,2,58,F,1
610,2,47,M,0
780,0,49,F,1
447,2,29,M,0
1574,8,32,M,0
1441,4,61,F,1
791,4,42,M,0
739,4,49,M,0
523,2,50,M,0
1072,6,46,M,0
2100,4,54,M,1
988,4,52,M,0
1438,5,60,F,0
2671,4,44,M,0
730,4,28,M,0
570,3,54,M,0
,2,38,M,0
2092,8,42,M,0
501,2,40,F,0
,9,44,F,0
1274,6,60,F,0
784,4,62,F,0
676,4,46,M,0
617,1,38,M,0
511,2,25,M,0
729,2,40,M,0
1283,6,45,M,0
1355,7,58,M,0
529,2,25,M,0
1056,5,39,M,0
913,4,28,M,0
1248,7,41,M,0
399,0,53,F,1
854,6,53,M,0
858,4,27,M,0
1037,5,25,M,0
987,4,22,M,0
674,2,22,M,0
826,3,24,M,0
1424,9,66,F,0
865,6,60,F,0
844,4,27,M,0
1037,6,65,M,0
387,1,39,M,0
1505,8,37,F,0
882,4,32,M,0
705,4,34,M,0
529,2,43,M,0
638,3,40,F,0
435,2,45,F,0
,2,47,M,0
675,2,53,M,0
394,0,55,F,1
894,4,29,M,0
757,4,62,M,0
3013,8,54,M,0
853,4,47,F,0
1104,4,47,M,0
793,2,47,F,1
356,2,47,M,0
868,4,50,M,0
1024,5,58,F,0
,7,52,M,0
972,4,32,M,0
931,4,51,M,0
930,8,56,F,0
298,0,69,M,1
961,5,51,F,0
487,2,40,F,0
,4,21,M,0
825,4,27,M,0
,6,55,M,0
,5,46,M,0
1517,6,61,F,0
,4,41,F,0
,0,70,F,1
,4,32,M,0
,4,39,F,0
,2,35,M,0
,4,29,M,0
578,3,62,F,0
1387,6,33,M,0
1597,10,64,M,0
968,4,29,M,0
712,1,53,F,1
1972,4,45,M,1
721,4,63,M,0
1030,1,51,M,0
533,1,48,M,1
545,2,39,M,0
1376,6,34,M,0
962,5,55,F,0
965,4,52,M,0
312,0,42,M,1
769,3,60,M,0
1126,4,29,M,0
512,1,33,M,0
376,0,60,F,1
254,0,56,M,0
450,2,48,F,0
356,1,45,M,0
882,4,57,F,0
318,0,31,M,0
752,2,21,M,0
540,2,52,M,0
578,2,48,M,0
418,0,37,M,0
1171,6,73,F,0
1047,3,54,F,1
1347,5,53,F,0
1121,4,22,F,0
1102,4,52,M,0
1235,5,65,F,1
648,1,60,F,1
871,1,49,M,1
976,4,66,F,0
1176,4,52,M,0
959,2,31,M,0
1420,5,52,M,0
659,1,12,F,0
,4,36,M,0
1036,4,41,M,0
267,2,62,F,0
5455,10,52,F,1
924,7,60,F,0
299,0,34,M,0
552,0,52,F,0
945,6,53,F,0
1286,4,46,F,0
2254,2,43,M,0
1813,4,30,F,0
564,0,38,M,0
1146,4,59,F,0
1027,4,49,M,0
676,0,44,M,1
943,4,49,M,0
1471,2,48,F,0
1900,3,38,F,0
1423,2,48,M,0
713,2,38,M,0
1338,4,21,M,0
994,2,46,F,0
924,2,48,M,0
,0,23,M,0
,3,47,F,0
750,2,57,M,0
1092,2,56,M,0
